antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'util=low', 'site=jpl', 'is_weekend=False'})","frozenset({'duration=very_long', 'temp=cold', 'energy=medium'})",0.25550403446639164,0.06787396400014604,0.054766512103399174,0.2143469562732209,3.1580144084815744,1.0,0.03742444046613523,1.1864347035152742,0.9178630441534663,0.20388745412532278,0.15713861282284555,0.5106161892716293
"frozenset({'util=low', 'temp=cold'})","frozenset({'is_weekend=False', 'duration=very_long', 'site=jpl', 'energy=medium'})",0.2082587900251926,0.08339114242944248,0.054766512103399174,0.26297335203366057,3.1534926177101266,1.0,0.03739957368222498,1.2436576887684254,0.8625182999000847,0.23119605425400735,0.19592022062736225,0.4598579544756744
"frozenset({'is_weekend=False', 'duration=very_long', 'site=jpl', 'energy=medium'})","frozenset({'util=low', 'temp=cold'})",0.08339114242944248,0.2082587900251926,0.054766512103399174,0.6567425569176882,3.1534926177101266,1.0,0.03739957368222498,2.306552198447015,0.7450192923056496,0.23119605425400735,0.566452473664679,0.4598579544756744
"frozenset({'duration=very_long', 'site=jpl', 'energy=medium'})","frozenset({'util=low', 'temp=cold'})",0.08401182956661433,0.2082587900251926,0.0550220891598817,0.6549326379834854,3.144801897217686,1.0,0.0375258871865359,2.2944540606448762,0.7445674173161301,0.23191751308094796,0.5641664755236193,0.4595665994966516
"frozenset({'util=low', 'temp=cold'})","frozenset({'duration=very_long', 'site=jpl', 'energy=medium'})",0.2082587900251926,0.08401182956661433,0.0550220891598817,0.26420056100981765,3.144801897217686,1.0,0.0375258871865359,1.244888378401723,0.8614114533376561,0.23191751308094796,0.19671512936455257,0.4595665994966516
"frozenset({'duration=long', 'wind=high'})",frozenset({'time=evening'}),0.16586950965716163,0.15239694767972545,0.07893679944503268,0.4758969843715607,3.1227461679330797,1.0,0.0536587924601485,1.617245135107521,0.8149432839258444,0.3298245614035088,0.38166454899645386,0.4969326800152006
frozenset({'time=evening'}),"frozenset({'duration=long', 'wind=high'})",0.15239694767972545,0.16586950965716163,0.07893679944503268,0.5179683756588405,3.1227461679330797,1.0,0.0536587924601485,1.7304476474607393,0.801989845555453,0.3298245614035088,0.4221148490291509,0.4969326800152006
"frozenset({'temp=hot', 'wind=low', 'is_weekend=False'})","frozenset({'time=afternoon', 'site=caltech'})",0.08072583884041039,0.2284128664792435,0.05754134871663807,0.7127996381727725,3.1206632496665705,1.0,0.03910252846815848,2.686581342069909,0.7392302844357312,0.22870410680597883,0.6277797421054306,0.4823588983702737
"frozenset({'time=afternoon', 'site=caltech'})","frozenset({'temp=hot', 'wind=low', 'is_weekend=False'})",0.2284128664792435,0.08072583884041039,0.05754134871663807,0.25191815856777494,3.1206632496665705,1.0,0.03910252846815848,1.2288416991911095,0.8807239909867431,0.22870410680597883,0.1862255320125819,0.4823588983702737
frozenset({'time=evening'}),"frozenset({'is_weekend=False', 'duration=long', 'wind=high'})",0.15239694767972545,0.1421008434042864,0.06728978787104312,0.44154288452323903,3.1072502734344796,1.0,0.04563405307351523,1.5361952293567172,0.800105714014259,0.29615940864534784,0.34904107180520894,0.45753917093582297
"frozenset({'is_weekend=False', 'duration=long', 'wind=high'})",frozenset({'time=evening'}),0.1421008434042864,0.15239694767972545,0.06728978787104312,0.47353545734840696,3.1072502734344796,1.0,0.04563405307351523,1.6099907660471002,0.7905032195957366,0.29615940864534784,0.3788784252128158,0.45753917093582297
"frozenset({'site=jpl', 'util=low', 'time=afternoon', 'is_weekend=False'})","frozenset({'duration=very_long', 'temp=cold'})",0.1515937055022089,0.21968673555076856,0.10347219686735551,0.6825626204238922,3.1069814875835102,1.0,0.07016907057553065,2.458164396049476,0.7993153850314587,0.3863667348329925,0.5931923830614815,0.5767807285267209
"frozenset({'duration=very_long', 'temp=cold'})","frozenset({'site=jpl', 'util=low', 'time=afternoon', 'is_weekend=False'})",0.21968673555076856,0.1515937055022089,0.10347219686735551,0.4709988366295496,3.1069814875835102,1.0,0.07016907057553065,1.603789090164376,0.869066610610893,0.3863667348329925,0.3764766164499176,0.5767807285267209
"frozenset({'duration=long', 'wind=high'})","frozenset({'temp=hot', 'time=evening'})",0.16586950965716163,0.10453101610135455,0.05385373690167586,0.32467532467532473,3.1060190246358608,1.0,0.03651522851697931,1.325982918465302,0.8128757769412589,0.2486933063564323,0.24584247196984704,0.4199345886387452
"frozenset({'temp=hot', 'time=evening'})","frozenset({'duration=long', 'wind=high'})",0.10453101610135455,0.16586950965716163,0.05385373690167586,0.5151938526021657,3.1060190246358608,1.0,0.03651522851697931,1.7205443759737369,0.7571948136671287,0.2486933063564323,0.41878860320934586,0.4199345886387452
"frozenset({'duration=very_long', 'temp=cold', 'energy=medium'})","frozenset({'util=low', 'site=jpl'})",0.06787396400014604,0.26156486180583444,0.0550220891598817,0.8106508875739644,3.099234667750323,1.0,0.03726864514596932,3.8998605735879357,0.7266610628400536,0.2005055880787653,0.7435805765025123,0.5105041149204272
"frozenset({'util=low', 'site=jpl'})","frozenset({'duration=very_long', 'temp=cold', 'energy=medium'})",0.26156486180583444,0.06787396400014604,0.0550220891598817,0.21035734226689,3.099234667750323,1.0,0.03726864514596932,1.1804403255971283,0.9172636308680627,0.2005055880787653,0.1528584899078672,0.5105041149204272
