antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'is_weekend=False', 'duration=very_long'})",frozenset({'util=low'}),0.3894640934316243,0.4928076423976366,0.27507661724509236,0.7062951935346661,1.4332066566548307,1.0,0.08314573556252072,1.7268779619451935,0.4950796715994614,0.4530283739541652,0.4209202838667432,0.6322388623844545
frozenset({'duration=very_long'}),frozenset({'util=low'}),0.40244070791573483,0.4928076423976366,0.28421546702007233,0.7062294182217344,1.4330731860929462,1.0,0.08588961054728317,1.726491313501179,0.5057220862400182,0.46513939722561104,0.4207905987247141,0.6414782028640187
frozenset({'util=low'}),frozenset({'duration=very_long'}),0.4928076423976366,0.40244070791573483,0.28421546702007233,0.5767269875063029,1.4330731860929462,1.0,0.08588961054728317,1.4117585445945797,0.595827061104666,0.46513939722561104,0.2916635753126085,0.6414782028640187
"frozenset({'site=jpl', 'temp=cold'})","frozenset({'is_weekend=False', 'util=low'})",0.16899969629200143,0.45779839310858944,0.11082580965791436,0.6557752001306977,1.4324541326538651,1.0,0.03345802025959646,1.5751381280409706,0.36329393239682106,0.21479023972602737,0.36513504295415716,0.4489297567507116
"frozenset({'is_weekend=False', 'util=low'})","frozenset({'site=jpl', 'temp=cold'})",0.45779839310858944,0.16899969629200143,0.11082580965791436,0.24208431337072553,1.4324541326538651,1.0,0.03345802025959646,1.0964284264965645,0.5567991026214238,0.21479023972602737,0.08794776217603523,0.4489297567507116
"frozenset({'util=low', 'energy=medium'})","frozenset({'is_weekend=False', 'duration=very_long'})",0.16579695739805075,0.3894640934316243,0.09249289047185179,0.5578684429641965,1.4324001939401836,1.0,0.027920928765098316,1.3808919468712226,0.3618676327767398,0.1998687429151005,0.2758303774123923,0.3976780184479284
"frozenset({'is_weekend=False', 'duration=very_long'})","frozenset({'util=low', 'energy=medium'})",0.3894640934316243,0.16579695739805075,0.09249289047185179,0.23748759393166027,1.4324001939401836,1.0,0.027920928765098316,1.0940189772167253,0.49443624368997485,0.1998687429151005,0.08593907342989354,0.3976780184479284
"frozenset({'is_weekend=False', 'time=afternoon', 'temp=mild'})",frozenset({'wind=low'}),0.0750987050995334,0.5006764405422568,0.053839145200033134,0.7169117647058824,1.4318863574436063,1.0,0.016238992841466127,1.7638442619805994,0.3261110741154923,0.10315277190012698,0.4330565223048025,0.4122222879997924
frozenset({'wind=low'}),"frozenset({'is_weekend=False', 'time=afternoon', 'temp=mild'})",0.5006764405422568,0.0750987050995334,0.053839145200033134,0.10753281129370244,1.431886357443606,1.0,0.016238992841466127,1.0363420712880043,0.6040583285482375,0.10315277190012698,0.03506764059364783,0.4122222879997924
"frozenset({'util=high', 'energy=low'})","frozenset({'wind=high', 'site=caltech'})",0.12200778596869047,0.3143929981501422,0.05491592810403379,0.45010183299389,1.431653489874919,1.0,0.016557534475676344,1.2467890292899264,0.3434050485215856,0.14395310125208077,0.19793968625989455,0.3123873527839389
"frozenset({'wind=high', 'site=caltech'})","frozenset({'util=high', 'energy=low'})",0.3143929981501422,0.12200778596869047,0.05491592810403379,0.17467287257398786,1.431653489874919,1.0,0.016557534475676344,1.0638111663305514,0.43976645227877026,0.14395310125208077,0.05998354628167504,0.3123873527839389
frozenset({'duration=medium'}),"frozenset({'site=caltech', 'energy=low'})",0.20431265357961292,0.22322537894475275,0.06526960987327093,0.3194594594594594,1.4311072556786841,1.0,0.019661840354753844,1.1414082994060424,0.37859135866901117,0.18016919442115692,0.12388932118298715,0.30592639021210444
"frozenset({'site=caltech', 'energy=low'})",frozenset({'duration=medium'}),0.22322537894475275,0.20431265357961292,0.06526960987327093,0.2923933209647495,1.4311072556786841,1.0,0.019661840354753844,1.124476873939666,0.38780921182491757,0.18016919442115692,0.11069758464978875,0.30592639021210444
"frozenset({'util=low', 'duration=very_long'})",frozenset({'temp=cold'}),0.28421546702007233,0.3301582042574339,0.13423893536541595,0.47231396930250635,1.430568628045449,1.0,0.040402867151880933,1.2693945959819544,0.4204858412334731,0.2795859689476711,0.2122228949411598,0.43945185001335385
frozenset({'temp=cold'}),"frozenset({'util=low', 'duration=very_long'})",0.3301582042574339,0.28421546702007233,0.13423893536541595,0.4065897307242014,1.4305686280454488,1.0,0.040402867151880933,1.2062220187956563,0.4493258906878443,0.2795859689476711,0.1709652249604571,0.43945185001335385
frozenset({'is_weekend=True'}),frozenset({'temp=hot'}),0.1091416107567851,0.33957315221292694,0.05301085065849416,0.4857070579306856,1.4303458761843646,1.0,0.015949289856216346,1.2841452677335465,0.3377286494813942,0.1339659503209601,0.22127190347790554,0.3209086553983861
frozenset({'temp=hot'}),frozenset({'is_weekend=True'}),0.33957315221292694,0.1091416107567851,0.05301085065849416,0.15611025286608665,1.4303458761843644,1.0,0.015949289856216346,1.0556573204838906,0.45556658044175025,0.1339659503209601,0.05272290487066239,0.3209086553983861
"frozenset({'util=low', 'energy=low'})",frozenset({'time=morning'}),0.14531047240398687,0.27195670780529557,0.05651729755100914,0.3889416682500475,1.4301602317105047,1.0,0.016999139866388617,1.191446469782565,0.35191451276195596,0.15666615643655288,0.16068407153659486,0.29837946356664813
frozenset({'time=morning'}),"frozenset({'util=low', 'energy=low'})",0.27195670780529557,0.14531047240398687,0.05651729755100914,0.20781725888324873,1.4301602317105044,1.0,0.016999139866388617,1.078904504270246,0.4131315429883237,0.15666615643655288,0.07313390940342374,0.29837946356664813
"frozenset({'site=caltech', 'time=morning'})","frozenset({'util=low', 'energy=low'})",0.27134929180816697,0.14531047240398687,0.056379248460752644,0.2077737077737078,1.4298605209682542,1.0,0.01694935468162062,1.0788451935799663,0.4125860064706861,0.15648708713311366,0.0730829539299626,0.2978826737614501
"frozenset({'util=low', 'energy=low'})","frozenset({'site=caltech', 'time=morning'})",0.14531047240398687,0.27134929180816697,0.056379248460752644,0.38799163974919243,1.429860520968254,1.0,0.01694935468162062,1.1905894682439047,0.35174303194107365,0.15648708713311366,0.16007992118813236,0.2978826737614501
